original_index,display_index,text_path,audio_path,status
1,1,./35322 - Text/Chapter_0001_display_1.txt,./35322 - Audio/Chapter_0001_display_1.mp3,queued
2,2,./35322 - Text/Chapter_0002_display_2.txt,./35322 - Audio/Chapter_0002_display_2.mp3,queued
3,3,./35322 - Text/Chapter_0003_display_3.txt,./35322 - Audio/Chapter_0003_display_3.mp3,queued
4,4,./35322 - Text/Chapter_0004_display_4.txt,./35322 - Audio/Chapter_0004_display_4.mp3,queued
5,5,./35322 - Text/Chapter_0005_display_5.txt,./35322 - Audio/Chapter_0005_display_5.mp3,queued
6,6,./35322 - Text/Chapter_0006_display_6.txt,./35322 - Audio/Chapter_0006_display_6.mp3,queued
7,7,./35322 - Text/Chapter_0007_display_7.txt,./35322 - Audio/Chapter_0007_display_7.mp3,queued
8,8,./35322 - Text/Chapter_0008_display_8.txt,./35322 - Audio/Chapter_0008_display_8.mp3,queued
9,9,./35322 - Text/Chapter_0009_display_9.txt,./35322 - Audio/Chapter_0009_display_9.mp3,queued
10,10,./35322 - Text/Chapter_0010_display_10.txt,./35322 - Audio/Chapter_0010_display_10.mp3,queued
11,11,./35322 - Text/Chapter_0011_display_11.txt,./35322 - Audio/Chapter_0011_display_11.mp3,queued
12,12,./35322 - Text/Chapter_0012_display_12.txt,./35322 - Audio/Chapter_0012_display_12.mp3,queued
13,13,./35322 - Text/Chapter_0013_display_13.txt,./35322 - Audio/Chapter_0013_display_13.mp3,queued
14,14,./35322 - Text/Chapter_0014_display_14.txt,./35322 - Audio/Chapter_0014_display_14.mp3,queued
15,15,./35322 - Text/Chapter_0015_display_15.txt,./35322 - Audio/Chapter_0015_display_15.mp3,queued
16,16,./35322 - Text/Chapter_0016_display_16.txt,./35322 - Audio/Chapter_0016_display_16.mp3,queued
17,17,./35322 - Text/Chapter_0017_display_17.txt,./35322 - Audio/Chapter_0017_display_17.mp3,queued
18,18,./35322 - Text/Chapter_0018_display_18.txt,./35322 - Audio/Chapter_0018_display_18.mp3,queued
19,19,./35322 - Text/Chapter_0019_display_19.txt,./35322 - Audio/Chapter_0019_display_19.mp3,queued
20,20,./35322 - Text/Chapter_0020_display_20.txt,./35322 - Audio/Chapter_0020_display_20.mp3,queued
21,21,./35322 - Text/Chapter_0021_display_21.txt,./35322 - Audio/Chapter_0021_display_21.mp3,queued
22,22,./35322 - Text/Chapter_0022_display_22.txt,./35322 - Audio/Chapter_0022_display_22.mp3,queued
23,23,./35322 - Text/Chapter_0023_display_23.txt,./35322 - Audio/Chapter_0023_display_23.mp3,queued
24,24,./35322 - Text/Chapter_0024_display_24.txt,./35322 - Audio/Chapter_0024_display_24.mp3,queued
25,25,./35322 - Text/Chapter_0025_display_25.txt,./35322 - Audio/Chapter_0025_display_25.mp3,queued
26,26,./35322 - Text/Chapter_0026_display_26.txt,./35322 - Audio/Chapter_0026_display_26.mp3,queued
27,27,./35322 - Text/Chapter_0027_display_27.txt,./35322 - Audio/Chapter_0027_display_27.mp3,queued
28,28,./35322 - Text/Chapter_0028_display_28.txt,./35322 - Audio/Chapter_0028_display_28.mp3,queued
29,29,./35322 - Text/Chapter_0029_display_29.txt,./35322 - Audio/Chapter_0029_display_29.mp3,queued
30,30,./35322 - Text/Chapter_0030_display_30.txt,./35322 - Audio/Chapter_0030_display_30.mp3,queued
