original_index,display_index,text_path,audio_path,status
1,1,./khau-van-tien-dao-convert - Text/Chapter_0001_display_1.txt,./khau-van-tien-dao-convert - Audio/Chapter_0001_display_1.mp3,queued
2,2,./khau-van-tien-dao-convert - Text/Chapter_0002_display_2.txt,./khau-van-tien-dao-convert - Audio/Chapter_0002_display_2.mp3,queued
3,3,./khau-van-tien-dao-convert - Text/Chapter_0003_display_3.txt,./khau-van-tien-dao-convert - Audio/Chapter_0003_display_3.mp3,queued
4,4,./khau-van-tien-dao-convert - Text/Chapter_0004_display_4.txt,./khau-van-tien-dao-convert - Audio/Chapter_0004_display_4.mp3,queued
5,5,./khau-van-tien-dao-convert - Text/Chapter_0005_display_5.txt,./khau-van-tien-dao-convert - Audio/Chapter_0005_display_5.mp3,queued
6,6,./khau-van-tien-dao-convert - Text/Chapter_0006_display_6.txt,./khau-van-tien-dao-convert - Audio/Chapter_0006_display_6.mp3,queued
7,7,./khau-van-tien-dao-convert - Text/Chapter_0007_display_7.txt,./khau-van-tien-dao-convert - Audio/Chapter_0007_display_7.mp3,queued
8,8,./khau-van-tien-dao-convert - Text/Chapter_0008_display_8.txt,./khau-van-tien-dao-convert - Audio/Chapter_0008_display_8.mp3,queued
9,9,./khau-van-tien-dao-convert - Text/Chapter_0009_display_9.txt,./khau-van-tien-dao-convert - Audio/Chapter_0009_display_9.mp3,queued
10,10,./khau-van-tien-dao-convert - Text/Chapter_0010_display_10.txt,./khau-van-tien-dao-convert - Audio/Chapter_0010_display_10.mp3,queued
11,11,./khau-van-tien-dao-convert - Text/Chapter_0011_display_11.txt,./khau-van-tien-dao-convert - Audio/Chapter_0011_display_11.mp3,queued
12,12,./khau-van-tien-dao-convert - Text/Chapter_0012_display_12.txt,./khau-van-tien-dao-convert - Audio/Chapter_0012_display_12.mp3,queued
13,13,./khau-van-tien-dao-convert - Text/Chapter_0013_display_13.txt,./khau-van-tien-dao-convert - Audio/Chapter_0013_display_13.mp3,queued
14,14,./khau-van-tien-dao-convert - Text/Chapter_0014_display_14.txt,./khau-van-tien-dao-convert - Audio/Chapter_0014_display_14.mp3,queued
15,15,./khau-van-tien-dao-convert - Text/Chapter_0015_display_15.txt,./khau-van-tien-dao-convert - Audio/Chapter_0015_display_15.mp3,queued
16,16,./khau-van-tien-dao-convert - Text/Chapter_0016_display_16.txt,./khau-van-tien-dao-convert - Audio/Chapter_0016_display_16.mp3,queued
17,17,./khau-van-tien-dao-convert - Text/Chapter_0017_display_17.txt,./khau-van-tien-dao-convert - Audio/Chapter_0017_display_17.mp3,queued
18,18,./khau-van-tien-dao-convert - Text/Chapter_0018_display_18.txt,./khau-van-tien-dao-convert - Audio/Chapter_0018_display_18.mp3,queued
19,19,./khau-van-tien-dao-convert - Text/Chapter_0019_display_19.txt,./khau-van-tien-dao-convert - Audio/Chapter_0019_display_19.mp3,queued
20,20,./khau-van-tien-dao-convert - Text/Chapter_0020_display_20.txt,./khau-van-tien-dao-convert - Audio/Chapter_0020_display_20.mp3,queued
21,21,./khau-van-tien-dao-convert - Text/Chapter_0021_display_21.txt,./khau-van-tien-dao-convert - Audio/Chapter_0021_display_21.mp3,queued
22,22,./khau-van-tien-dao-convert - Text/Chapter_0022_display_22.txt,./khau-van-tien-dao-convert - Audio/Chapter_0022_display_22.mp3,queued
23,23,./khau-van-tien-dao-convert - Text/Chapter_0023_display_23.txt,./khau-van-tien-dao-convert - Audio/Chapter_0023_display_23.mp3,queued
24,24,./khau-van-tien-dao-convert - Text/Chapter_0024_display_24.txt,./khau-van-tien-dao-convert - Audio/Chapter_0024_display_24.mp3,queued
25,25,./khau-van-tien-dao-convert - Text/Chapter_0025_display_25.txt,./khau-van-tien-dao-convert - Audio/Chapter_0025_display_25.mp3,queued
26,26,./khau-van-tien-dao-convert - Text/Chapter_0026_display_26.txt,./khau-van-tien-dao-convert - Audio/Chapter_0026_display_26.mp3,queued
27,27,./khau-van-tien-dao-convert - Text/Chapter_0027_display_27.txt,./khau-van-tien-dao-convert - Audio/Chapter_0027_display_27.mp3,queued
28,28,./khau-van-tien-dao-convert - Text/Chapter_0028_display_28.txt,./khau-van-tien-dao-convert - Audio/Chapter_0028_display_28.mp3,queued
29,29,./khau-van-tien-dao-convert - Text/Chapter_0029_display_29.txt,./khau-van-tien-dao-convert - Audio/Chapter_0029_display_29.mp3,queued
30,30,./khau-van-tien-dao-convert - Text/Chapter_0030_display_30.txt,./khau-van-tien-dao-convert - Audio/Chapter_0030_display_30.mp3,queued
31,31,./khau-van-tien-dao-convert - Text/Chapter_0031_display_31.txt,./khau-van-tien-dao-convert - Audio/Chapter_0031_display_31.mp3,queued
32,32,./khau-van-tien-dao-convert - Text/Chapter_0032_display_32.txt,./khau-van-tien-dao-convert - Audio/Chapter_0032_display_32.mp3,queued
33,33,./khau-van-tien-dao-convert - Text/Chapter_0033_display_33.txt,./khau-van-tien-dao-convert - Audio/Chapter_0033_display_33.mp3,queued
34,34,./khau-van-tien-dao-convert - Text/Chapter_0034_display_34.txt,./khau-van-tien-dao-convert - Audio/Chapter_0034_display_34.mp3,queued
35,35,./khau-van-tien-dao-convert - Text/Chapter_0035_display_35.txt,./khau-van-tien-dao-convert - Audio/Chapter_0035_display_35.mp3,queued
36,36,./khau-van-tien-dao-convert - Text/Chapter_0036_display_36.txt,./khau-van-tien-dao-convert - Audio/Chapter_0036_display_36.mp3,queued
37,37,./khau-van-tien-dao-convert - Text/Chapter_0037_display_37.txt,./khau-van-tien-dao-convert - Audio/Chapter_0037_display_37.mp3,queued
38,38,./khau-van-tien-dao-convert - Text/Chapter_0038_display_38.txt,./khau-van-tien-dao-convert - Audio/Chapter_0038_display_38.mp3,queued
39,39,./khau-van-tien-dao-convert - Text/Chapter_0039_display_39.txt,./khau-van-tien-dao-convert - Audio/Chapter_0039_display_39.mp3,queued
40,40,./khau-van-tien-dao-convert - Text/Chapter_0040_display_40.txt,./khau-van-tien-dao-convert - Audio/Chapter_0040_display_40.mp3,queued
41,41,./khau-van-tien-dao-convert - Text/Chapter_0041_display_41.txt,./khau-van-tien-dao-convert - Audio/Chapter_0041_display_41.mp3,queued
42,42,./khau-van-tien-dao-convert - Text/Chapter_0042_display_42.txt,./khau-van-tien-dao-convert - Audio/Chapter_0042_display_42.mp3,queued
43,43,./khau-van-tien-dao-convert - Text/Chapter_0043_display_43.txt,./khau-van-tien-dao-convert - Audio/Chapter_0043_display_43.mp3,queued
44,44,./khau-van-tien-dao-convert - Text/Chapter_0044_display_44.txt,./khau-van-tien-dao-convert - Audio/Chapter_0044_display_44.mp3,queued
45,45,./khau-van-tien-dao-convert - Text/Chapter_0045_display_45.txt,./khau-van-tien-dao-convert - Audio/Chapter_0045_display_45.mp3,queued
46,46,./khau-van-tien-dao-convert - Text/Chapter_0046_display_46.txt,./khau-van-tien-dao-convert - Audio/Chapter_0046_display_46.mp3,queued
47,47,./khau-van-tien-dao-convert - Text/Chapter_0047_display_47.txt,./khau-van-tien-dao-convert - Audio/Chapter_0047_display_47.mp3,queued
48,48,./khau-van-tien-dao-convert - Text/Chapter_0048_display_48.txt,./khau-van-tien-dao-convert - Audio/Chapter_0048_display_48.mp3,queued
49,49,./khau-van-tien-dao-convert - Text/Chapter_0049_display_49.txt,./khau-van-tien-dao-convert - Audio/Chapter_0049_display_49.mp3,queued
50,50,./khau-van-tien-dao-convert - Text/Chapter_0050_display_50.txt,./khau-van-tien-dao-convert - Audio/Chapter_0050_display_50.mp3,queued
51,51,./khau-van-tien-dao-convert - Text/Chapter_0051_display_51.txt,./khau-van-tien-dao-convert - Audio/Chapter_0051_display_51.mp3,queued
52,52,./khau-van-tien-dao-convert - Text/Chapter_0052_display_52.txt,./khau-van-tien-dao-convert - Audio/Chapter_0052_display_52.mp3,queued
53,53,./khau-van-tien-dao-convert - Text/Chapter_0053_display_53.txt,./khau-van-tien-dao-convert - Audio/Chapter_0053_display_53.mp3,queued
54,54,./khau-van-tien-dao-convert - Text/Chapter_0054_display_54.txt,./khau-van-tien-dao-convert - Audio/Chapter_0054_display_54.mp3,queued
55,55,./khau-van-tien-dao-convert - Text/Chapter_0055_display_55.txt,./khau-van-tien-dao-convert - Audio/Chapter_0055_display_55.mp3,queued
56,56,./khau-van-tien-dao-convert - Text/Chapter_0056_display_56.txt,./khau-van-tien-dao-convert - Audio/Chapter_0056_display_56.mp3,queued
57,57,./khau-van-tien-dao-convert - Text/Chapter_0057_display_57.txt,./khau-van-tien-dao-convert - Audio/Chapter_0057_display_57.mp3,queued
58,58,./khau-van-tien-dao-convert - Text/Chapter_0058_display_58.txt,./khau-van-tien-dao-convert - Audio/Chapter_0058_display_58.mp3,queued
59,59,./khau-van-tien-dao-convert - Text/Chapter_0059_display_59.txt,./khau-van-tien-dao-convert - Audio/Chapter_0059_display_59.mp3,queued
60,60,./khau-van-tien-dao-convert - Text/Chapter_0060_display_60.txt,./khau-van-tien-dao-convert - Audio/Chapter_0060_display_60.mp3,queued
